session_id,client_id,visit_time,session_duration_sec,marketing_channel,referrer,device_type,os,connection_type,bandwidth_mbps,steps_completed,conversion
80,17,2024-06-26,109.38180114183693,ads,campaign,desktop,android,5G,30.378536143253175,4,True
81,17,2024-06-29,189.4955311662397,organic,facebook,mobile,ios,wifi,35.41263218452352,3,True
82,17,2024-10-24,173.22451177827145,ads,google,mobile,ios,wifi,34.85432969814853,1,False
83,18,2024-07-31,202.24689602139262,partner,wallet_app,mobile,ios,4G,24.775728435350363,3,False
84,18,2024-06-17,140.1332783586414,organic,direct,desktop,macos,4G,31.442206113117123,2,True
85,18,2024-12-12,110.88230347538288,ads,facebook,mobile,android,5G,23.317808498122364,2,True
86,18,2025-01-02,162.8432430245981,ads,google,mobile,ios,wifi,14.4188163708417,1,True
87,18,2024-10-06,178.51542858766848,ads,facebook,desktop,android,4G,20.572890224604258,3,False
88,18,2024-04-18,223.7834563344158,organic,campaign,desktop,android,4G,45.89139830483985,3,True
89,18,2024-12-02,225.68156133610023,organic,google,mobile,ios,wifi,17.737647698094754,2,False
90,18,2025-02-16,93.93035319116247,organic,campaign,mobile,ios,4G,24.81804816370798,4,False
91,18,2024-07-17,175.5973235332912,organic,facebook,desktop,ios,wifi,27.098742050414923,3,True
92,19,2024-07-21,86.71441521702627,organic,google,desktop,ios,4G,24.57353528330808,1,True
93,19,2025-02-16,133.82004577253437,organic,google,mobile,ios,5G,5.3924067557215345,1,False
94,19,2024-09-04,112.68869456452833,organic,direct,desktop,android,wifi,24.088920512537065,2,True
95,19,2024-09-13,185.28268764296416,organic,google,mobile,android,5G,27.244317074425922,3,True
96,19,2025-02-12,111.20142855093039,ads,facebook,mobile,android,5G,19.516872786388895,2,False
97,20,2024-08-19,128.09438774129234,organic,facebook,mobile,android,5G,28.017538551221715,3,False
98,20,2025-02-05,152.48934933789968,ads,google,mobile,android,wifi,45.27384964474906,1,True
99,20,2024-04-09,79.56967543277935,organic,wallet_app,mobile,ios,wifi,30.68389501995,2,True
100,20,2024-05-31,20.0,partner,google,mobile,android,4G,44.3840663647604,2,True
101,20,2024-06-27,131.61914422378103,organic,facebook,mobile,ios,5G,56.30404733155718,1,False
102,20,2024-12-11,228.70555496013097,partner,facebook,mobile,android,wifi,34.545715264295346,5,False
103,20,2025-01-30,205.60391378256867,referral,direct,desktop,android,wifi,25.645953592398147,2,True
104,21,2024-05-11,123.62174476938635,referral,direct,mobile,android,3G,38.31926213510622,3,False
105,21,2024-11-14,141.28012235904208,partner,direct,mobile,android,4G,45.551572548342875,3,False
106,22,2024-07-01,59.51731958486309,organic,direct,mobile,ios,5G,13.387126420691768,1,False
107,22,2025-02-28,72.05623038640316,organic,facebook,desktop,android,4G,35.993790327467984,1,True
108,23,2024-08-03,139.0901040499779,ads,google,mobile,android,wifi,16.901646521213035,1,False
109,23,2024-05-14,172.7280306247206,ads,direct,mobile,android,4G,38.66485431049198,1,False
110,23,2024-07-31,114.15719131566469,organic,direct,mobile,android,4G,34.77912305124114,2,True
111,23,2024-03-06,235.71089996650215,organic,google,mobile,android,5G,11.973271001049167,1,False
112,23,2024-06-17,104.37885841897108,ads,wallet_app,mobile,android,wifi,39.61742350712512,4,False
113,24,2024-03-26,146.170495736234,ads,direct,mobile,ios,4G,16.433202518923828,2,False
114,24,2024-05-26,126.86443690797856,ads,google,mobile,android,4G,32.16060565682849,3,True
115,24,2025-02-05,157.73976456194515,organic,google,mobile,android,3G,15.284173928432734,3,False
116,24,2024-04-15,256.1140642986759,ads,wallet_app,mobile,android,wifi,35.82439413054653,2,False
117,25,2025-01-07,220.2431010189136,organic,direct,desktop,android,4G,19.5269104986364,1,True
118,25,2025-01-02,105.5188278767428,organic,facebook,desktop,android,5G,25.646452994660017,1,False
119,25,2024-12-26,68.8730183061743,organic,facebook,mobile,ios,5G,38.15225014039584,5,False
120,25,2024-11-18,189.1636753401935,organic,direct,mobile,ios,4G,40.10460802673816,3,True
121,25,2024-10-20,85.87552964967075,organic,google,mobile,ios,4G,14.89160951216131,1,False
122,26,2024-09-30,129.50983639246408,ads,campaign,desktop,android,wifi,25.706342518601858,2,False
123,26,2024-05-04,34.003339513265686,ads,campaign,mobile,ios,5G,22.464893363918176,4,True
124,26,2024-10-26,45.449025243426405,organic,wallet_app,desktop,windows,4G,39.741173361932994,3,True
125,27,2024-07-04,94.46864750396443,organic,facebook,tablet,ios,4G,26.733792063972537,2,True
126,27,2024-05-10,75.75045661496722,ads,campaign,desktop,android,wifi,31.115670513869734,2,True
127,27,2024-05-25,172.35204944080314,organic,google,mobile,windows,4G,29.719522296049288,1,False
128,27,2025-02-27,208.40183679522994,organic,google,mobile,android,wifi,36.35691388871787,1,False
129,28,2025-01-04,239.05124368962333,organic,google,desktop,ios,4G,22.08530527628676,4,False
130,28,2024-12-12,168.50255472942183,organic,google,mobile,ios,4G,26.751474947546683,2,False
131,28,2024-05-14,131.73211057242952,organic,google,desktop,android,4G,36.61008240537732,3,True
132,28,2024-05-05,105.43177532708367,ads,facebook,desktop,windows,wifi,39.219593863901196,4,True
133,28,2024-08-10,197.65267721104033,ads,campaign,mobile,android,5G,41.841725841219464,3,False
134,29,2024-06-07,93.37717073005717,organic,direct,desktop,windows,4G,32.139691237902596,6,False
135,29,2024-05-15,158.89659478256223,organic,facebook,mobile,android,wifi,25.804517260941353,2,False
136,29,2025-02-04,137.74851608085015,ads,direct,desktop,android,4G,9.712651163087926,2,False
137,30,2024-04-25,234.4439658959663,organic,direct,mobile,ios,5G,19.35249945407013,3,False
138,30,2025-02-26,154.65730067326535,referral,facebook,mobile,android,5G,38.97414233885232,1,True
139,30,2024-12-25,118.3891742477883,ads,google,desktop,android,4G,16.32642932221425,2,True
140,30,2024-09-12,166.27544774040481,organic,wallet_app,desktop,android,5G,31.95901951845847,2,True
141,30,2024-10-05,114.9932029352052,organic,google,mobile,android,4G,20.307360283808602,2,False
142,30,2025-01-03,150.63274558346652,ads,google,desktop,android,4G,16.285626326515576,2,True
143,30,2024-04-27,116.67664117869825,organic,direct,mobile,android,4G,27.61321284308883,2,False
144,31,2024-05-09,78.89502168592915,organic,campaign,mobile,android,wifi,26.039117243666183,2,True
145,31,2025-01-18,20.0,ads,facebook,desktop,android,5G,49.49326419949681,4,True
146,32,2025-02-24,122.78985074279133,ads,facebook,mobile,android,wifi,19.684130246351746,1,True
147,32,2024-06-18,58.9929013257867,organic,facebook,mobile,android,4G,30.785536506699664,3,True
148,32,2024-07-07,230.40000926912387,ads,wallet_app,mobile,android,3G,43.01204408303334,2,True
149,32,2024-03-23,20.0,partner,campaign,mobile,ios,3G,19.12738799679587,1,True
150,32,2024-04-24,58.55267670677416,organic,google,mobile,ios,4G,26.07071246925953,2,True
151,32,2024-05-02,57.05384019858702,partner,facebook,mobile,ios,wifi,25.778671607424993,4,False
152,32,2024-10-15,81.66041502388113,organic,google,desktop,android,wifi,54.14310435524225,3,True
153,32,2024-12-04,201.15590005075137,organic,direct,mobile,ios,4G,30.899875582953936,3,False
154,32,2025-01-09,90.99920850880754,ads,campaign,mobile,android,4G,20.554849668608462,1,True
155,32,2024-08-23,141.16948170023824,organic,facebook,desktop,android,wifi,47.73808133307972,3,True
156,33,2024-07-03,91.90454396173867,organic,google,mobile,android,wifi,26.222207398110296,2,True
157,33,2025-01-07,177.32834269714724,organic,facebook,mobile,windows,wifi,16.396201781752495,3,False
158,33,2024-10-13,125.49602787953864,ads,campaign,mobile,android,4G,36.623292213088476,1,False
159,33,2024-10-27,20.1535234372151,referral,direct,mobile,android,wifi,23.19263791306786,2,True
160,34,2024-03-10,52.320842358502205,organic,direct,desktop,android,wifi,33.93890690831981,3,True
161,34,2024-03-29,192.76933236479684,referral,google,mobile,android,wifi,24.684654236281844,4,True
162,34,2024-06-13,119.8718940014529,ads,google,tablet,android,wifi,34.83785521386696,1,True
163,35,2024-11-03,125.06646675378178,organic,google,tablet,android,wifi,19.768897879290478,2,True
164,35,2024-05-06,225.95517421847364,organic,google,desktop,android,3G,22.369029343304312,2,True
165,35,2024-09-10,85.2276933006919,referral,campaign,mobile,android,wifi,30.02095576140395,2,True
166,35,2024-09-11,122.23013351063483,organic,campaign,mobile,windows,wifi,8.751167652282689,2,True
167,35,2025-01-15,222.5087395920239,organic,wallet_app,mobile,ios,5G,38.39045629861235,3,True
168,35,2024-10-30,164.52784646264638,organic,direct,mobile,android,wifi,17.85837635505695,2,True
169,35,2024-10-15,191.486430402703,ads,google,mobile,ios,4G,22.433131301121357,2,False
170,36,2024-04-17,75.76480360306218,organic,wallet_app,tablet,android,wifi,26.77858362925054,3,False
171,37,2024-11-01,106.80139090480048,organic,direct,mobile,android,wifi,24.63234231598236,1,True
172,37,2025-01-22,65.92975594529008,organic,google,mobile,ios,4G,21.988959589845884,1,True
173,38,2024-03-11,138.057995788373,referral,google,mobile,windows,5G,10.716496217345316,1,True
174,38,2024-06-22,223.85963462653962,partner,google,tablet,ios,wifi,19.09508012776533,3,True
175,38,2024-07-02,101.09195109196057,ads,direct,mobile,android,4G,13.337958383335547,3,False
176,38,2024-05-23,176.7666704512653,referral,wallet_app,desktop,ios,4G,43.01224049601421,3,False
177,38,2024-12-06,129.5639907463879,ads,direct,mobile,ios,4G,40.6245306347895,3,True
178,38,2024-06-26,206.79696690266596,organic,google,desktop,macos,wifi,15.014175291818216,4,False
179,38,2024-08-21,140.47208827262028,ads,google,mobile,android,4G,57.45569249681633,2,True
180,39,2024-07-17,56.908498486745245,organic,google,mobile,android,wifi,41.226792307873524,4,True
181,39,2024-07-02,143.65395951465987,ads,campaign,desktop,ios,wifi,20.47051271104908,1,False
182,39,2024-05-17,77.47254507771994,organic,google,mobile,windows,4G,16.837539255924952,4,True
183,39,2024-10-24,109.52125195264809,ads,google,mobile,android,wifi,38.179030428473126,2,True
184,40,2025-01-26,103.36113865267856,referral,google,mobile,android,4G,33.40510805222965,2,False
185,40,2024-04-06,96.0413193553577,ads,wallet_app,desktop,ios,wifi,57.25759130166759,2,True
186,40,2024-03-24,153.17922690737925,ads,google,mobile,android,4G,20.4539018734871,3,True
187,40,2025-01-30,181.18331374935192,ads,google,mobile,ios,4G,36.4668472933784,3,False
188,41,2024-06-08,81.45352350693845,organic,google,mobile,android,wifi,49.52161059007621,3,True
189,41,2025-01-23,161.26908225658633,partner,facebook,mobile,windows,3G,36.64671070510755,1,True
190,41,2024-07-06,211.27222964668704,organic,facebook,mobile,android,wifi,39.60863796409328,2,False
191,42,2024-09-20,145.58851618340404,organic,wallet_app,mobile,ios,4G,38.357999091545544,3,False
192,42,2024-10-17,202.4044585850466,ads,google,desktop,ios,5G,38.5260289639637,1,False
193,42,2024-11-12,119.43014325000915,organic,direct,mobile,android,wifi,48.9689605058437,4,False
194,42,2024-03-19,137.8401394227587,ads,direct,desktop,windows,4G,36.870492733420825,3,True
195,42,2024-05-03,123.56034232329169,referral,facebook,mobile,android,3G,42.11946668179633,3,True
196,42,2024-12-09,90.92118574678658,organic,google,mobile,android,wifi,20.581240331922157,5,True
197,42,2024-08-06,103.91965657171501,organic,direct,mobile,ios,4G,40.82377554211098,4,False
198,43,2024-07-13,241.62020926897617,organic,campaign,mobile,android,4G,18.464658932344058,3,False
199,43,2025-01-09,78.43510019853278,organic,google,mobile,ios,4G,10.501112199617179,3,False
200,43,2024-10-04,213.25110076557658,partner,direct,mobile,ios,wifi,28.830469848380737,4,True
201,43,2024-04-10,153.02678388794996,organic,google,mobile,ios,3G,42.08843703472337,5,True
202,43,2024-06-27,159.59546340455233,organic,wallet_app,desktop,android,5G,11.933400359398728,4,True
203,43,2024-04-07,265.0702532491611,organic,campaign,mobile,ios,wifi,32.72281219155356,3,False
204,43,2024-04-22,163.32707554354855,organic,wallet_app,mobile,android,wifi,38.98951907167948,4,False
205,44,2024-08-05,78.06270310396778,organic,google,mobile,ios,5G,16.254133039418598,3,False
206,44,2024-08-20,164.4565515790232,organic,direct,mobile,android,wifi,60.46206677981121,3,False
207,44,2024-12-10,201.98917875998012,ads,direct,mobile,android,4G,16.13679068172329,2,False
208,44,2024-10-26,126.15470749540067,organic,wallet_app,mobile,ios,wifi,25.627779961348473,3,False
209,44,2024-06-17,196.28927860916605,ads,direct,mobile,ios,3G,21.127152959585842,2,False
210,44,2024-10-11,176.41719453039954,ads,google,desktop,windows,4G,29.802319583429934,3,True
211,45,2024-03-22,81.36506650310427,referral,google,mobile,ios,4G,26.257843837988414,3,True
212,45,2024-05-23,165.0685726321139,organic,facebook,desktop,android,4G,30.873214367056317,3,False
213,45,2024-05-11,215.772173558819,ads,direct,mobile,ios,5G,21.683018594410168,5,True
214,45,2024-07-29,138.86562594582455,partner,direct,desktop,ios,wifi,4.221495835948364,1,True
215,46,2024-04-17,232.83153077461242,ads,facebook,mobile,android,4G,32.22849645057165,2,True
216,46,2024-03-11,308.9905330220673,ads,facebook,mobile,android,4G,46.61355461783805,4,True
217,46,2024-06-05,45.00973858527536,organic,google,mobile,android,4G,42.77244194903307,5,True
218,46,2024-06-20,333.42522274446924,referral,google,mobile,windows,4G,48.02942301915475,1,True
219,46,2024-10-19,232.03807402975428,ads,google,mobile,android,5G,3.206815937076385,3,False
220,46,2024-09-08,56.336998713284515,ads,direct,mobile,windows,5G,22.129810933937264,1,False
221,47,2024-10-20,150.6392576045593,referral,facebook,mobile,windows,5G,20.68215537595063,3,False
222,47,2024-10-05,132.23708510535724,referral,campaign,mobile,android,5G,46.31754973565694,2,False
223,48,2024-10-16,111.06947542826828,organic,campaign,desktop,android,4G,34.898285633042086,5,False
224,49,2024-08-14,143.31595741587586,ads,direct,mobile,android,4G,56.91288868307721,3,True
225,50,2024-06-24,182.95619330203343,ads,campaign,mobile,android,wifi,28.489716687593116,3,True
226,50,2024-10-03,116.75288343675768,organic,campaign,desktop,ios,4G,32.8435759688174,3,False
227,50,2024-10-18,125.90796395510665,organic,direct,mobile,ios,4G,27.089374031780352,2,True
228,50,2024-05-03,204.4039360911456,organic,direct,mobile,android,4G,33.84534917741806,2,True
229,50,2024-08-27,64.6405281069531,ads,direct,mobile,android,3G,29.690750452493738,4,False
230,50,2024-12-31,139.2908794398181,partner,facebook,desktop,android,wifi,42.27585829292802,1,False
231,50,2025-02-14,140.34244776214234,organic,google,mobile,ios,wifi,23.01421192370792,2,True
232,51,2024-12-20,86.21323930000639,ads,direct,mobile,ios,4G,28.0293143527796,1,False
233,51,2024-04-20,195.1990140326666,ads,facebook,mobile,android,4G,23.816121257545873,4,False
234,52,2025-01-28,190.64844268810555,ads,campaign,mobile,android,4G,42.21718376975238,6,False
235,52,2025-02-14,141.06822563720687,organic,campaign,desktop,android,4G,22.89716995339831,1,False
236,52,2024-06-08,104.52876168185453,organic,facebook,mobile,android,5G,6.360137473228619,4,True
237,53,2024-08-18,101.27628468137739,partner,campaign,desktop,android,4G,30.497100120623315,2,False
238,53,2024-07-20,225.6511753496486,organic,direct,mobile,android,4G,34.21372772454971,2,True
239,53,2024-06-17,81.38735282733703,organic,direct,mobile,ios,4G,22.934810064273925,3,False
240,54,2024-09-22,89.98759492762824,ads,facebook,tablet,ios,5G,25.178645547474694,3,False
241,54,2024-08-23,163.10825043902747,referral,direct,mobile,android,wifi,27.755510720613835,5,False
242,54,2025-01-05,193.99150707333393,referral,facebook,desktop,android,4G,39.769566785198954,3,False
243,54,2024-07-10,58.108699015219486,organic,wallet_app,desktop,windows,wifi,40.202580625397765,2,True
244,54,2024-10-16,34.932285953525906,organic,wallet_app,mobile,ios,5G,24.501265935099838,3,True
245,54,2025-01-18,252.42251594796653,organic,campaign,desktop,android,4G,24.126067064915752,4,True
246,54,2024-05-02,89.06784550945252,partner,wallet_app,mobile,android,wifi,41.09077783140707,4,True
247,54,2025-01-01,77.6566440978261,partner,campaign,mobile,ios,4G,43.38035549256848,1,True
248,54,2024-07-11,142.32171374654922,ads,google,mobile,ios,wifi,36.44169155114701,3,True
249,55,2024-10-03,51.74226318818879,referral,wallet_app,tablet,ios,wifi,44.39684862771276,5,True
250,55,2024-12-13,20.0,organic,google,mobile,ios,wifi,29.296656387723967,2,False
251,55,2025-01-17,83.39174673159762,ads,direct,desktop,android,wifi,18.447300511272836,2,True
252,55,2024-08-22,27.587170895352756,organic,campaign,mobile,ios,wifi,42.18864224375092,1,False
253,55,2024-08-23,30.40844888040948,partner,wallet_app,mobile,android,4G,38.16304805163284,2,False
254,55,2025-02-11,78.380142086966,ads,facebook,mobile,android,4G,42.933057354680905,4,True
255,56,2024-03-22,123.35227404249761,ads,wallet_app,desktop,ios,wifi,19.163229866476517,1,True
256,56,2024-11-07,225.96706780892777,organic,google,mobile,android,5G,34.577079804504585,3,False
257,56,2024-07-18,120.54508221655243,organic,google,mobile,android,5G,36.48249548957885,3,False
258,57,2025-02-04,158.79154992525702,referral,google,desktop,android,4G,39.347330301273914,3,True
259,57,2024-05-26,164.9325478118428,organic,campaign,mobile,android,wifi,43.172733732563586,4,False
260,57,2024-08-08,272.2235937479683,organic,campaign,mobile,ios,4G,21.4328224960129,3,True
261,57,2024-07-02,114.03433366674764,ads,wallet_app,mobile,ios,wifi,36.3830466134344,2,True
262,57,2025-01-10,165.45141527660004,ads,facebook,mobile,macos,4G,36.05078915856386,4,False
263,58,2024-03-22,101.42092543368265,referral,direct,desktop,android,wifi,26.532375564999537,2,True
264,58,2024-12-19,94.0462421213146,organic,facebook,desktop,ios,wifi,53.09924171724271,1,False
265,58,2024-12-08,68.30277320358306,ads,google,mobile,ios,wifi,20.278612841497925,1,False
266,58,2024-12-09,215.76946770985268,ads,google,mobile,android,wifi,48.452467209565704,5,True
267,58,2024-12-22,117.08895313619044,ads,facebook,desktop,android,4G,38.59665889020063,1,False
268,58,2024-11-25,58.15839639031996,ads,campaign,desktop,ios,4G,13.990772298238873,3,True
269,58,2024-04-20,142.8441448057481,partner,campaign,desktop,ios,4G,30.782965535758255,2,False
270,58,2025-02-16,155.18699526702162,ads,google,mobile,android,4G,30.681559591464026,2,True
271,59,2024-12-05,142.9623629152681,organic,facebook,desktop,windows,4G,12.843554549553463,4,False
272,59,2024-03-06,245.67505894904315,partner,google,desktop,android,4G,21.77391849261565,1,False
273,59,2024-06-24,256.2780669730611,organic,google,mobile,ios,4G,38.683970576902986,3,True
274,59,2024-10-09,99.84286194737284,organic,direct,mobile,ios,4G,36.50895289428982,3,True
275,59,2024-07-26,239.27363285690674,organic,campaign,mobile,ios,4G,23.470177047376886,6,True
276,59,2024-11-08,263.09343003615624,ads,facebook,desktop,ios,wifi,15.788359868419864,5,False
277,60,2024-05-15,166.3563661335913,organic,direct,mobile,android,4G,47.41544045364421,4,False
278,60,2024-11-10,157.90750688778456,organic,facebook,mobile,ios,4G,12.771952460457136,4,True
279,60,2024-07-14,145.67145037187737,organic,direct,tablet,ios,5G,27.11849695462202,4,True
280,61,2025-02-03,108.85675435663629,organic,facebook,mobile,android,wifi,17.55044421783947,4,True
281,61,2024-07-20,102.5163501987681,ads,direct,mobile,ios,wifi,6.559145691247508,1,True
282,61,2024-07-01,213.3594924988057,organic,wallet_app,mobile,android,5G,14.954297805058406,1,False
283,61,2024-10-02,122.13448181316383,organic,campaign,mobile,android,5G,35.7436717999177,1,True
284,61,2024-08-05,151.13253684316373,organic,campaign,tablet,ios,4G,29.921133024343668,2,True
285,61,2025-02-04,152.0616386513608,referral,google,tablet,android,5G,34.21925334507552,4,True
286,61,2024-04-24,194.3350454765942,referral,campaign,desktop,windows,wifi,28.91085667833877,3,False
287,61,2025-02-10,196.51897791135013,organic,facebook,mobile,ios,wifi,12.058271429079518,6,False
288,62,2024-09-19,154.08401821917465,organic,direct,mobile,android,4G,35.813441165459345,1,False
289,62,2024-07-28,73.16582825739485,referral,direct,mobile,ios,4G,23.79135050779952,3,True
290,62,2024-11-16,122.32419027765306,ads,wallet_app,desktop,android,5G,30.542313054271848,2,True
291,63,2024-10-23,232.2407022975358,organic,campaign,mobile,ios,wifi,54.91417427712898,3,True
292,63,2024-07-29,119.41448611369873,organic,wallet_app,mobile,android,4G,42.25545316724952,2,False
293,63,2025-02-02,95.24595678627256,referral,google,desktop,android,wifi,52.51840648973391,4,False
294,63,2024-11-14,25.365080372460397,organic,direct,mobile,ios,wifi,12.151123938561213,3,False
